January 2026 OPPS NDC - HCPCS Crosswalk for Medicare Part B Drugs,,,,,,,,,
"     Effective January 1, 2026 through March 1, 2026",,,,,,,,,
,,,,,,,,,
The ASP crosswalks are maintained by the Division of Data Analysis and Market Based Pricing to support ASP-based Medicare Part B payments only. The crosswalks are intended to help the public (including entities that submit manufacturer ASP data and providers who bill for drugs) understand which drug products (identified by NDCs) are assigned to which HCPCS billing codes. The crosswalks are not intended to be a comprehensive list of all drugs/NDCs available in the United States. The NDC to HCPCS Crosswalk also includes information on the NDC package size and the number of billable units (as defined by the HCPCS code descriptor). Comments on the file may be sent to sec303aspdata@cms.hhs.gov.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
_2026_CODE,Short Descriptor,LABELER NAME,NDC or ALTERNATE ID,Drug Name,HCPCS Dosage,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
J0675,"Inj, carboprost, 0.1 mg",Dr. Reddy's Laboratories Inc.,43598-0179-10,Carboprost Tromethamine,0.1 MG,1,10,2.5,25
J0675,"Inj, carboprost, 0.1 mg",Dr. Reddy's Laboratories Inc.,43598-0698-58,Carboprost Tromethamine,0.1 MG,1,10,2.5,25
J0675,"Inj, carboprost, 0.1 mg",Eugia US LLC,55150-0459-10,Carboprost Tromethamine,0.1 MG,1,10,2.5,25
J0675,"Inj, carboprost, 0.1 mg",Alembic Pharmaceuticals Inc.,62332-0777-10,Carboprost Tromethamine,0.1 MG,1,10,2.5,25
J0675,"Inj, carboprost, 0.1 mg","FreseniUS Kabi USA, LLC",65219-0579-01,Carboprost Tromethamine,0.1 MG,1,10,2.5,25
J0675,"Inj, carboprost, 0.1 mg","Amneal Pharmaceuticals, LLC",70121-1680-07,Carboprost Tromethamine,0.1 MG,1,10,2.5,25
J0675,"Inj, carboprost, 0.1 mg",Sola Pharmaceuticals,70512-0859-05,Carboprost Tromethamine,0.1 MG,1,5,2.5,12.5
J0675,"Inj, carboprost, 0.1 mg","Xellia Pharmaceuticals USA, LLC.",70594-0112-02,Carboprost Tromethamine,0.1 MG,1,10,2.5,25
J0675,"Inj, carboprost, 0.1 mg",BE Pharmaceuticals Inc.,71839-0137-10,Carboprost Tromethamine,0.1 MG,1,10,2.5,25
J0675,"Inj, carboprost, 0.1 mg","Long Grove Pharmaceuticals, LLC",81298-5010-03,Carboprost Tromethamine,0.1 MG,1,10,2.5,25
J0675,"Inj, carboprost, 0.1 mg","Long Grove Pharmaceuticals, LLC",81298-5010-05,Carboprost Tromethamine,0.1 MG,1,1,2.5,2.5
J0681,Inj ceftobipole medocarl 3mg,La Jolla Pharmaceutical Company,68547-0578-10,Zevtera,3 MG,1,10,166.6666667,1667
J0716,Centruroides immune f(ab),"Rare Disease Therapeutics, Inc.",66621-0150-02,Anascorp,UP TO 120 MG,1,1,1,1
J0720,Chloramphenicol sodium injec,"FreseniUS Kabi USA, LLC",63323-0011-15,Chloramphenicol Sod Succinate,1 GM,1,10,1,10
J0759,"Inj, clevidipine, 1 mg","Chiesi USA, Inc.",10122-0610-10,Cleviprex,1 MG,50,10,25,250
J0759,"Inj, clevidipine, 1 mg","Chiesi USA, Inc.",10122-0611-10,Cleviprex,1 MG,100,10,50,500
J0891,Argatroban nonesrd (accord),Accord Healthcare Inc,16729-0430-43,Argatroban,1 MG,50,10,50,500
J0911,Inst tauro 1.35mg/hep 100u,CorMedix Inc.,72990-0103-10,Defencath,taurolidine 1.35 mg and heparin sodium 100 units ,3,10,30,300
J1073,Testosterone pellet 75 mg,"Endo USA, Inc.",66887-0004-10,Testopel,75 MG,1,10,1,10
J1073,Testosterone pellet 75 mg,"Endo USA, Inc.",66887-0004-20,Testopel,75 MG,1,100,1,100
J1097,Phenylep ketorolac opth soln,Omeros Corporation,62225-0600-04,Omidria ,1 ML,4,4,4,16
J1097,Phenylep ketorolac opth soln,Rayner Surgical Inc.,82604-0600-04,Omidria ,1 ML,4,4,4,16
J1327,Eptifibatide injection,Baxter Healthcare Corporation,00338-9558-10,Eptifibatide,5 MG,100,12,15,180
J1327,Eptifibatide injection,Sagent Pharmaceuticals,25021-0408-51,Eptifibatide,5 MG,100,1,15,15
J1327,Eptifibatide injection,Sagent Pharmaceuticals,25021-0409-10,Eptifibatide,5 MG,10,1,4,4
J1327,Eptifibatide injection,Eugia US LLC,55150-0218-99,Eptifibatide,5 MG,100,1,15,15
J1327,Eptifibatide injection,Eugia US LLC,55150-0219-10,Eptifibatide,5 MG,10,1,4,4
J1327,Eptifibatide injection,Eugia US LLC,55150-0220-99,Eptifibatide,5 MG,100,1,40,40
J1327,Eptifibatide injection,Mylan Institutional LLC,67457-0629-10,Eptifibatide,5 MG,10,1,4,4
J1327,Eptifibatide injection,Mylan Institutional LLC,67457-0630-10,Eptifibatide,5 MG,100,1,40,40
J1327,Eptifibatide injection,Mylan Institutional LLC,67457-0631-10,Eptifibatide,5 MG,100,1,15,15
J1327,Eptifibatide injection,Slate Run Pharmaceuticals,70436-0026-80,Eptifibatide,5 MG,10,1,4,4
J1327,Eptifibatide injection,Slate Run Pharmaceuticals,70436-0027-80,Eptifibatide,5 MG,100,1,15,15
J1327,Eptifibatide injection,Slate Run Pharmaceuticals,70436-0162-80,Eptifibatide,5 MG,10,1,4,4
J1327,Eptifibatide injection,Slate Run Pharmaceuticals,70436-0163-80,Eptifibatide,5 MG,100,1,15,15
J1327,Eptifibatide injection,"Athenex Pharmaceutical Division, LLC",70860-0303-10,Eptifibatide,5 MG,10,1,4,4
J1327,Eptifibatide injection,"Athenex Pharmaceutical Division, LLC",70860-0305-51,Eptifibatide,5 MG,100,1,15,15
J1327,Eptifibatide injection,Meitheal Pharmaceuticals Inc.,71288-0412-10,Eptifibatide,5 MG,10,1,4,4
J1327,Eptifibatide injection,Meitheal Pharmaceuticals Inc.,71288-0413-51,Eptifibatide,5 MG,100,1,15,15
J1327,Eptifibatide injection,Mylan Institutional LLC,72078-0025-10,Eptifibatide,5 MG,10,1,4,4
J1327,Eptifibatide injection,Mylan Institutional LLC,72078-0026-10,Eptifibatide,5 MG,100,1,15,15
J1327,Eptifibatide injection,Mylan Institutional LLC,72078-0027-10,Eptifibatide,5 MG,100,1,40,40
J1327,Eptifibatide injection,Avenacy Inc.,83634-0301-51,Eptifibatide,5 MG,100,1,15,15
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0100-10,Hemgenix,Per Therapeutic Dose,10,10,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0110-11,Hemgenix,Per Therapeutic Dose,10,11,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0120-12,Hemgenix,Per Therapeutic Dose,10,12,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0130-13,Hemgenix,Per Therapeutic Dose,10,13,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0140-14,Hemgenix,Per Therapeutic Dose,10,14,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0150-15,Hemgenix,Per Therapeutic Dose,10,15,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0160-16,Hemgenix,Per Therapeutic Dose,10,16,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0170-17,Hemgenix,Per Therapeutic Dose,10,17,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0180-18,Hemgenix,Per Therapeutic Dose,10,18,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0190-19,Hemgenix,Per Therapeutic Dose,10,19,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0200-20,Hemgenix,Per Therapeutic Dose,10,20,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0210-21,Hemgenix,Per Therapeutic Dose,10,21,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0220-22,Hemgenix,Per Therapeutic Dose,10,22,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0230-23,Hemgenix,Per Therapeutic Dose,10,23,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0240-24,Hemgenix,Per Therapeutic Dose,10,24,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0250-25,Hemgenix,Per Therapeutic Dose,10,25,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0260-26,Hemgenix,Per Therapeutic Dose,10,26,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0270-27,Hemgenix,Per Therapeutic Dose,10,27,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0280-28,Hemgenix,Per Therapeutic Dose,10,28,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0290-29,Hemgenix,Per Therapeutic Dose,10,29,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0300-30,Hemgenix,Per Therapeutic Dose,10,30,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0310-31,Hemgenix,Per Therapeutic Dose,10,31,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0320-32,Hemgenix,Per Therapeutic Dose,10,32,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0330-33,Hemgenix,Per Therapeutic Dose,10,33,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0340-34,Hemgenix,Per Therapeutic Dose,10,34,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0350-35,Hemgenix,Per Therapeutic Dose,10,35,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0360-36,Hemgenix,Per Therapeutic Dose,10,36,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0370-37,Hemgenix,Per Therapeutic Dose,10,37,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0380-38,Hemgenix,Per Therapeutic Dose,10,38,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0390-39,Hemgenix,Per Therapeutic Dose,10,39,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0400-40,Hemgenix,Per Therapeutic Dose,10,40,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0410-41,Hemgenix,Per Therapeutic Dose,10,41,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0420-42,Hemgenix,Per Therapeutic Dose,10,42,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0430-43,Hemgenix,Per Therapeutic Dose,10,43,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0440-44,Hemgenix,Per Therapeutic Dose,10,44,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0450-45,Hemgenix,Per Therapeutic Dose,10,45,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0460-46,Hemgenix,Per Therapeutic Dose,10,46,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0470-47,Hemgenix,Per Therapeutic Dose,10,47,1,1
J1411,"Inj, hemgenix, per tx dose",CSL Behring L.L.C.,00053-0480-48,Hemgenix,Per Therapeutic Dose,10,48,1,1
J1412,Inj roctavian ml 2x10^13vc g,BioMarin Pharmaceutical Inc.,68135-0927-48,Roctavian,1 ML,8,1,8,8
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0503-12,Elevidys,Per Therapeutic Dose,1,12,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0505-14,Elevidys,Per Therapeutic Dose,1,14,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0506-15,Elevidys,Per Therapeutic Dose,1,15,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0507-16,Elevidys,Per Therapeutic Dose,1,16,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0508-17,Elevidys,Per Therapeutic Dose,1,17,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0509-18,Elevidys,Per Therapeutic Dose,1,18,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0510-19,Elevidys,Per Therapeutic Dose,1,19,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0511-20,Elevidys,Per Therapeutic Dose,1,20,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0512-21,Elevidys,Per Therapeutic Dose,1,21,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0513-22,Elevidys,Per Therapeutic Dose,1,22,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0514-23,Elevidys,Per Therapeutic Dose,1,23,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0515-24,Elevidys,Per Therapeutic Dose,1,24,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0516-25,Elevidys,Per Therapeutic Dose,1,25,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0517-26,Elevidys,Per Therapeutic Dose,1,26,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0518-27,Elevidys,Per Therapeutic Dose,1,27,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0519-28,Elevidys,Per Therapeutic Dose,1,28,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0520-29,Elevidys,Per Therapeutic Dose,1,29,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0521-30,Elevidys,Per Therapeutic Dose,1,30,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0522-31,Elevidys,Per Therapeutic Dose,1,31,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0523-32,Elevidys,Per Therapeutic Dose,1,32,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0524-33,Elevidys,Per Therapeutic Dose,1,33,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0525-34,Elevidys,Per Therapeutic Dose,1,34,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0526-35,Elevidys,Per Therapeutic Dose,1,35,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0527-36,Elevidys,Per Therapeutic Dose,1,36,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0528-37,Elevidys,Per Therapeutic Dose,1,37,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0529-38,Elevidys,Per Therapeutic Dose,1,38,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0530-39,Elevidys,Per Therapeutic Dose,1,39,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0531-40,Elevidys,Per Therapeutic Dose,1,40,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0532-41,Elevidys,Per Therapeutic Dose,1,41,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0533-42,Elevidys,Per Therapeutic Dose,1,42,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0534-43,Elevidys,Per Therapeutic Dose,1,43,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0535-44,Elevidys,Per Therapeutic Dose,1,44,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0536-45,Elevidys,Per Therapeutic Dose,1,45,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0537-46,Elevidys,Per Therapeutic Dose,1,46,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0538-47,Elevidys,Per Therapeutic Dose,1,47,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0539-48,Elevidys,Per Therapeutic Dose,1,48,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0540-49,Elevidys,Per Therapeutic Dose,1,49,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0541-50,Elevidys,Per Therapeutic Dose,1,50,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0542-51,Elevidys,Per Therapeutic Dose,1,51,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0543-52,Elevidys,Per Therapeutic Dose,1,52,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0544-53,Elevidys,Per Therapeutic Dose,1,53,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0545-54,Elevidys,Per Therapeutic Dose,1,54,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0546-55,Elevidys,Per Therapeutic Dose,1,55,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0547-56,Elevidys,Per Therapeutic Dose,1,56,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0548-57,Elevidys,Per Therapeutic Dose,1,57,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0549-58,Elevidys,Per Therapeutic Dose,1,58,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0550-59,Elevidys,Per Therapeutic Dose,1,59,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0551-60,Elevidys,Per Therapeutic Dose,1,60,1,1
J1413,Inj delandistrogene mox rokl,"Sarepta Therapeutics, Inc.",60923-0552-61,Elevidys,Per Therapeutic Dose,1,61,1,1
